id,title,town,state,usage_type,status,operator,connection_types,power_kw,quantity,lat,lon,usage_simple,status_simple,is_fast,state_abbrev
190407,Scenic World Carpark,Katoomba,New South Wales,Public,Operational,Tesla (Tesla-only charging),Type 2 (Tethered Connector) ,22.0,2.0,-33.728024559118296,150.300728600681,public,operational,False,NSW
190406,Supercheap auto,Jamisontown‎ ,NSW‎ ,Public - Membership Required,Operational,(Unknown Operator),Type 2 (Tethered Connector) ,22.0,2.0,-33.76965243504467,150.67186991611658,public,operational,False,UNK
190401,Rockhampton QESH,Rockhampton,Queensland,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,4.0,-23.382146860599264,150.51355170231477,public,operational,True,QLD
190400,Gin Gin QESH,Gin Gin,Queensland,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,3.0,-24.989529996084883,151.95310955075183,public,operational,True,QLD
190399,Gunalda QESH,Gunalda,Queensland,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,4.0,-25.994198141547088,152.56269417739531,public,operational,True,QLD
190398,Gympie [QESH],Gympie,Queensland,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,3.0,-26.18854334315202,152.66574226908438,public,operational,True,QLD
190397,Brisbane Airport,Brisbane,Queensland,Public - Membership Required,Operational,Evie,"CCS (Type 2), CHAdeMO",50.0,8.0,-27.415112352398268,153.07724242473,public,operational,True,QLD
190396,Bilinga QESH (Coolangatte Airport),Bilinga,Queensland,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,4.0,-28.16382522506754,153.514927307191,public,operational,True,QLD
190395,Coolangatta Surf Club,Coolangatta,Queensland,Public - Membership Required,Operational,Chargefox,"CCS (Type 2), CHAdeMO",75.0,2.0,-28.166937408855013,153.53634874918976,public,operational,True,QLD
190394,The Farm Byron Bay [NRMA],Ewingsdale,New South Wales,Public,Operational,NRMA,"CCS (Type 2), CHAdeMO",50.0,2.0,-28.63571944020704,153.55330117184485,public,operational,True,NSW
190393,Grafton Public Library,Grafton,New South Wales,Public,Operational,NRMA,"CCS (Type 2), CHAdeMO",50.0,2.0,-29.688073199234324,152.93353803987213,public,operational,True,NSW
190392,Evie Macksville,Macksville,New South Wales,Public - Membership Required,Operational,Evie,"CCS (Type 2), CHAdeMO",350.0,4.0,-30.709970892832544,152.91982301754945,public,operational,True,NSW
190389,Anniversary Park,Rockingham,Western Australia,Public,Operational,(Unknown Operator),"Three Phase 5-Pin (AS/NZ 3123), Type I (AS 3112)",22.0,3.0,-32.292626788449596,115.74664476860039,public,operational,False,WA
190373,Rockingham Volkswagen ,Rockingham,Western Australia ,Private - Restricted Access,Operational,(Unknown Operator),Type 2 (Socket Only),,1.0,-32.27045412024325,115.75561955622425,private,operational,False,WA
190363,Mundaring Weir Hotel,Mundaring,Western Australia,Public,Operational,(Unknown Operator),Type I (AS 3112),2.5,1.0,-31.952209900740648,116.16705526729766,public,operational,False,WA
190362,ChargeFox Cooma,Cooma ,NSW,Public - Membership Required,Operational,Chargefox,"CCS (Type 2), CHAdeMO",350.0,4.0,-36.21868817620539,149.13363161099028,public,operational,True,NSW
190361,Gippsland Solar,Bairnsdale,Vic,Public - Membership Required,Operational,Chargefox,Type 2 (Socket Only),22.0,1.0,-37.83372548471041,147.60661599037178,public,operational,False,VIC
190360,Port of Sale,Sale,VIC,Public - Membership Required,Operational,Evie,"CCS (Type 2), CHAdeMO",50.0,2.0,-38.112024318575045,147.06310643876884,public,operational,True,VIC
190359,Holbrook [NRMA],Holbrook,NSW,Public,Operational,NRMA,"CCS (Type 2), CHAdeMO",50.0,2.0,-35.71746030083052,147.31775237395414,public,operational,True,NSW
190358,Jugiong [NRMA],Jugiong,NSW,Public,Operational,NRMA,"CCS (Type 2), CHAdeMO",50.0,2.0,-34.82341194348058,148.32537254091335,public,operational,True,NSW
190356,"Department of Biodiversity, Conservation and Attractions",Kensington,Western Australia,Private - Restricted Access,Operational,(Unknown Operator),Type I (AS 3112),7.0,1.0,-31.995655950694704,115.88329363905393,private,operational,False,WA
190354,Silk Thai Restaurant,Mandurah,Western Australia,Public,Operational,Chargefox,Type 2 (Socket Only),22.0,1.0,-32.53111567064465,115.72030282929558,public,operational,False,WA
190352,"Department of Biodiversity, Conservation and Attractions FWF",Kensington,Western Australia,Private - Restricted Access,Operational,Chargefox,Type 2 (Socket Only),7.0,2.0,-31.995737047605445,115.88564872339822,private,operational,False,WA
190351,Tarcutta Roadhouse [Evie],Tarcutta,NSW,Public - Membership Required,Operational,Evie,"CCS (Type 2), CHAdeMO",350.0,4.0,-35.27711511746652,147.73611268003378,public,operational,True,NSW
190350,Coles Express Coomera,Coomera,,Public - Membership Required,Operational,Evie,"CCS (Type 2), CHAdeMO",350.0,4.0,-27.855202514974366,153.31010291274197,public,operational,True,UNK
190339,Mercedes Perth,Bentley,Western Australia,"Private - For Staff, Visitors or Customers",Operational,(Unknown Operator),"CCS (Type 2), Type 2 (Socket Only)",24.0,2.0,-31.999110470936742,115.9157275187037,private,operational,False,WA
190317,Dowerin Field Days Oval,Dowerin,Western Australia,Privately Owned - Notice Required,Operational,(Unknown Operator),"Three Phase 5-Pin (AS/NZ 3123), Type I (AS 3112)",22.0,27.0,-31.19020425492358,117.03612798040007,private,operational,False,WA
190302,Rockingham Nissan,Rockingham,Western Australia,Private - Restricted Access,Operational,(Unknown Operator),Type 2 (Socket Only),,1.0,-32.27602954766279,115.76426627808104,private,operational,False,WA
190298,The Old Convent,Dalwallinu,Western Australia,Public,Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),11.0,1.0,-30.28724891743107,116.66646540542087,public,operational,False,WA
190296,Wongan Hills Caravan Park,Wongan Hills,Western Australia,Public,Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),4.0,1.0,-30.88814280903685,116.71504793666344,public,operational,False,WA
190295,Puma New Norcia Roadhouse,New Norcia,Western Australia,Public,Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),22.0,1.0,-30.973749857257722,116.21249128930401,public,operational,False,WA
190294,Gingin Hotel,Gingin,Western Australia,Public,Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),22.0,1.0,-31.350965381790523,115.90418179823558,public,operational,False,WA
190293,Granville Civic Centre,Gingin,Western Australia,Public,Operational,(Unknown Operator),"Three Phase 5-Pin (AS/NZ 3123), Type I (AS 3112)",18.0,5.0,-31.34975443971156,115.90479361984762,public,operational,False,WA
190292,Gravity Discovery Centre,Gingin,Western Australia,Public,Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),11.0,1.0,-31.356129821303917,115.71263310610527,public,operational,False,WA
190291,Alan and Eve's Eden,Lower Chittering,Western Australia,"Private - For Staff, Visitors or Customers",Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),22.0,1.0,-31.53857963900527,116.07373436553274,private,operational,False,WA
190290,Enderslie B&B,Muchea,Western Australia,"Private - For Staff, Visitors or Customers",Operational,(Business Owner at Location),Three Phase 5-Pin (AS/NZ 3123),22.0,1.0,-31.581419541887506,115.98343798965402,private,operational,False,WA
190288,Woolworths Northam,Northam,Western Australia,Public,Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),11.0,1.0,-31.653838360245935,116.67275712306093,public,operational,False,WA
190287,Muresk Institute,Muresk,Western Australia,Public,Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),11.0,1.0,-31.74992627976492,116.68294107958945,public,operational,False,WA
190286,Laurelville Manor,York,Western Australia,"Private - For Staff, Visitors or Customers",Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),11.0,1.0,-31.890257051674716,116.7767352171943,private,operational,False,WA
190283,Beverley Agricultural Showground,Beverley,Western Australia,Public,Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),11.0,1.0,-32.105142349587666,116.92652187873722,public,operational,False,WA
190282,Quairading Community Resource Centre,Quairading,Western Australia,Public,Operational,Exploren,Type 2 (Socket Only),22.0,2.0,-32.011587852764045,117.40044403326306,public,operational,False,WA
190281,Corrigin Hotel,Corrigin,Western Australia,Public,Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),17.0,1.0,-32.33053209732362,117.87400878811326,public,operational,False,WA
190280,Freebairn Recreation Centre,Kulin,Western Australia,Public,Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),22.0,1.0,-32.66897565706384,118.16121384503646,public,operational,False,WA
190279,Hannan Street Parking,Kalgoorlie,Western Australia,Public,Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),11.0,1.0,-30.748154235887043,121.47147200622675,public,operational,False,WA
190278,The View On Hannans,Kalgoorlie,Western Australia,Public,Operational,(Unknown Operator),"Tesla (Model S/X), Three Phase 5-Pin (AS/NZ 3123)",22.0,3.0,-30.75181001068328,121.4673604447338,public,operational,False,WA
190277,Goldfields Rewinds,West Kalgoorlie,Western Australia,"Private - For Staff, Visitors or Customers",Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),22.0,1.0,-30.774794590528153,121.4411344975328,private,operational,False,WA
