UCL_CODE_2021,name,area_sqkm,population,lat,lon,state,chargers_5km,chargers_10km,chargers_20km
115064,Gerringong,2.6665,4565,-34.74266510348687,150.82728806451146,Unspecified,0,0,6
115065,Gilgandra,10.9255,2417,-31.70442299310648,148.65150572333755,Unspecified,0,0,0
115066,Glossodia,8.0675,2548,-33.534570955303366,150.7697588885921,Unspecified,0,0,0
115067,Gloucester,5.8359,2469,-32.0147938687856,151.96037160999933,Unspecified,0,0,0
115068,Greenwell Point,2.667,1245,-34.91075168715986,150.7304218623552,Unspecified,0,0,4
115069,Grenfell,10.9719,2022,-33.8977849440788,148.1553778896578,Unspecified,0,0,0
115070,Greta,5.1063,3230,-32.67582002477378,151.39243571932008,Unspecified,0,0,0
115071,Gulgong,4.042,2057,-32.36181236286264,149.53418026489038,Unspecified,0,0,0
115072,Gulmarrad,9.2572,1844,-29.49188485933649,153.2305100067843,Unspecified,0,2,3
115073,Gundagai,9.0449,1970,-35.064844280627405,148.1079266043584,Unspecified,0,1,2
115074,Guyra,7.7244,2077,-30.22484071884908,151.67279230010155,Unspecified,0,0,0
115075,Hallidays Point - Black Head,3.5175,1106,-32.07051392418683,152.53439812107436,Unspecified,0,0,3
115076,Harden - Murrumburrah,5.832,1789,-34.55670255937207,148.36229911946714,Unspecified,1,1,1
115077,Harrington,3.1929,3240,-31.877603407656167,152.66966062874263,Unspecified,0,0,1
115078,Hawks Nest ,13.8335,1413,-32.6610251205762,152.18435530906984,Unspecified,0,0,1
115079,Hay,10.731,2208,-34.51345635074849,144.8382745449803,Unspecified,1,1,1
115080,Hill Top,2.2634,2262,-34.35379937587989,150.49287087266694,Unspecified,0,0,4
115081,Hillston,6.3583,1149,-33.48905446674869,145.5305308502819,Unspecified,0,0,0
115082,Holbrook,3.82,1251,-35.72103169684087,147.31787810598243,Unspecified,2,2,2
115083,Howlong,4.0465,2654,-35.98283575225063,146.63437286151958,Unspecified,0,0,1
115084,Iluka,5.5661,1764,-29.40589608835901,153.35335572436492,Unspecified,0,0,2
115085,Jamberoo,1.4114,1229,-34.645446205785255,150.77676758952876,Unspecified,0,0,5
115086,Jindabyne,2.0513,2233,-36.4185026903236,148.6185948757451,Unspecified,1,1,1
115087,Jindera,3.2855,1389,-35.95679427744036,146.891456226521,Unspecified,0,1,5
115088,Junction Hill,2.3406,1515,-29.639471281754712,152.92517469808422,Unspecified,0,1,1
115089,Junee,20.8145,4882,-34.861047907414594,147.5716055021469,Unspecified,0,0,0
115090,Kandos,4.4775,1208,-32.85841455172954,149.9752019096082,Unspecified,0,1,1
115091,Karuah,3.0402,1451,-32.65107370395323,151.95974656030145,Unspecified,1,1,2
115092,Kootingal,2.2163,1862,-31.05322658480496,151.05530544783133,Unspecified,0,0,2
115093,Kurrajong,2.229,1159,-33.554198009467726,150.66810640293744,Unspecified,0,0,0
115094,Kyogle,5.6379,2804,-28.62229582335064,152.99706887764614,Unspecified,0,0,0
115095,Lake Cargelligo,6.0893,1169,-33.291076141636715,146.37677249063637,Unspecified,0,0,0
115096,Lake Cathie,9.3406,4049,-31.55695230837296,152.84400456571143,Unspecified,0,0,5
115097,Lemon Tree Passage,1.8194,2680,-32.733638587866245,152.03243151726886,Unspecified,1,1,3
